a,b,target
1,10,0.36787941633460847
2,20,0.045789196146081367
3,30,0.0006170591435823976
4,40,9.56605389460488e-07
2,10,0.04578911676242501
3,10,0.0006170497008659222
4,10,9.565505519162414e-07
5,10,1.8054361027771023e-10
6,20,4.2912113620677254e-15
7,20,1.3107557938098917e-20
8,10,5.212389671966898e-27
9,20,2.7223538935493817e-34
10,20,1.8786994509649057e-42

